<occupation-9>,lid Raad van State
<occupation-8-begin>,1962-09-04
<occupation-6-end>,1962-09-04
<faith-1>,geen godsdienst
<residence-2>,Amsterdam, Kiefskamp 121
<death-place>,Baarn
<occupation-5>,lid gemeenteraad van Amsterdam
<marriage-place>,Amsterdam
<occupation-7-end>,1962-09-11
<occupation-2-begin>,1927
<occupation-3>,lid Provinciale Staten van Noord-Holland
<occupation-2-end>,1945
<occupation-1>,onderwijzer openbare school te Amsterdam
<occupation-1-end>,1921
<occupation-7>,lid Eerste Kamer der Staten-Generaal
<occupation-7-begin>,1956-11-06
<occupation-3-begin>,1938-10-18
<name>,ab de roos|albertus de roos|a. de roos
<education-2-end>,1926
<education-2>,Nederlands recht, Gemeentelijke Universiteit te Amsterdam
<gender>,1
<birth-place>,Amsterdam
<residence-3>,Baarn, Amalialaan 116,
<marriage-time>,1927-03-23
<occupation-1-begin>,1918
<death-time>,1978-01-22
<birth-time>,1900-01-12
<occupation-5-begin>,1946-09-02
<occupation-4>,lid Provinciale Staten van Noord-Holland
<occupation-9-begin>,1962-11-01
<occupation-9-end>,1975-02-01
<education-2-begin>,1921
<occupation-3-end>,1941-09-01
<occupation-4-begin>,1946-06-05
<residence-1>,Amsterdam, Harmoniehof 68
<occupation-8>,wethouder (van publieke werken) van Amsterdam
<occupation-2>,ambtenaar afdeling onderwijs, secretarie gemeente Amsterdam
<occupation-5-end>,1962-11-01
<occupation-8-end>,1962-11-01
<occupation-6>,wethouder (van onderwijs, jeugdzorg, sport en kunstzaken) van Amsterdam
<residence-3-end>,1978-01-22
<occupation-6-begin>,1946-09-02
<education-1>,Rijkskweekschool voor onderwijzers te Haarlem
<occupation-4-end>,1958-07-01
