<occupation-9>,buitengewoon en gevolmachtigd ambassadeur te Mexico City
<occupation-8-begin>,1951-05
<occupation-6-end>,1948
<occupation-10>,directeur-generaal politieke zaken, ministerie van Buitenlandse Zaken
<death-place>,Verbier (Zwitserland)
<occupation-5>,gezantschapssecretaris te Washington
<marriage-place>,Haarlem
<occupation-7-end>,1951-05
<occupation-2-begin>,1933
<occupation-3>,gezantschapsattaché te Kopenhagen
<occupation-12-end>,1969
<occupation-2-end>,1934
<occupation-1>,ambassaderaad te Kopenhagen
<occupation-11-begin>,1959-08-24
<occupation-1-end>,1933
<occupation-7>,hoofd directie buitenlandse dienst, ministerie van Buitenlandse Zaken
<occupation-7-begin>,1948
<occupation-3-begin>,1934
<name>,hans van houten|hans rudolf van houten|h.r. van houten
<education-2-end>,1929-10
<occupation-10-begin>,1957-11-01
<education-2>,Nederlands recht, Rijksuniversiteit Leiden,
<gender>,1
<birth-place>,'s-Gravenhage
<marriage-time>,1935-07-06
<occupation-1-begin>,1932-02-03
<occupation-11-end>,1963-07-24
<occupation-11>,staatssecretaris van Buitenlandse Zaken (belast met aangelegenheden betreffende de NAVO, WEU, Raad van Europa, Benelux, verkeersaangelegenheden en bilaterale betrekkingen met landen in Europa, Afrika, het Midden-Oosten en Latijns-Amerika)
<death-time>,1996-07-31
<birth-time>,1907-08-13
<occupation-12-begin>,1964-11
<occupation-5-begin>,1940
<occupation-4>,ambassaderaad te Berlijn
<occupation-9-begin>,1954-07-01
<occupation-9-end>,1957-11-01
<occupation-3-end>,1935
<occupation-4-begin>,1935
<residence-1>,Wassenaar
<occupation-8>,buitengewoon gezant en gevolmachtigd minister te Mexico City
<occupation-2>,ambassaderaad te Stockholm
<occupation-5-end>,1945
<occupation-8-end>,1954-07-01
<occupation-6>,ambassaderaad te Brussel
<occupation-12>,buitengewoon en gevolmachtigd ambassadeur te Wenen
<occupation-10-end>,1959-08-24
<occupation-6-begin>,1945
<education-1>,gymnasium te 's-Gravenhage
<occupation-4-end>,1940
