<birth-place>,Zaltbommel
<education-1-begin>,1905-09-20
<occupation-3>,lid Raad voor het Rechtsherstel
<name>,j.j. van walsem|jan jacobus van walsem
<death-time>,1972-07-15
<birth-time>,1886-06-12
<education-1>,rechtsgeleerdheid (gepromoveerd op stellingen) Rijksuniversiteit te Leiden
<occupation-4>,plaatsvervangend lid Algemene Rekenkamer
<death-place>,onbekend
<occupation-2>,rijksadvocaat te Rotterdam
<marriage-time>,1959-12-30
<marriage-place>,Orbe (Frankrijk)
<occupation-1>,advocaat en procureur te Rotterdam
<occupation-1-begin>,1910
<occupation-4-begin>,1946-07-08
<occupation-4-end>,1957-01-01
<gender>,1
