<education-1-begin>,1954
<occupation-6-end>,1997-08-01
<death-place>,Zoetermeer
<occupation-5>,hoogleraar privaatrecht, Rijksuniversiteit Utrecht
<marriage-place>,Hazerswoude
<occupation-2-begin>,1957
<occupation-3>,rechter Arrondissementsrechtbank te Rotterdam
<occupation-2-end>,1963
<occupation-1>,assistent burgerlijk recht, Rijksuniversiteit Utrecht
<occupation-1-end>,1957
<occupation-3-begin>,1963
<name>,ch.j. van zeben|christiaan johannes van zeben
<gender>,1
<birth-place>,Zutphen
<marriage-time>,1957-03-07
<occupation-1-begin>,1955
<education-1-end>,1957
<death-time>,2003-03-30
<birth-time>,1927-07-16
<occupation-5-begin>,1971
<occupation-4>,hoogleraar burgerlijk- en handelsrecht en burgerlijk procesrecht, Nederlandse Economische Hogeschool te Rotterdam
<occupation-3-end>,1966
<occupation-4-begin>,1966
<residence-1>,Zoetermeer, Meerpolder 9
<occupation-2>,ambtenaar afdeling wetgeving Nieuw Burgerlijk Wetboek, ministerie van Justitie
<occupation-5-end>,1978
<occupation-6>,lid Raad van State
<occupation-6-begin>,1978-06-01
<education-1>,Nederlands recht, Rijksuniversiteit Utrecht
<occupation-4-end>,1971
