<education-1-begin>,1856
<occupation-9>,minister van Marine
<occupation-8-begin>,1894
<occupation-6-end>,1891-08-21
<faith-1>,Nederlands Hervormd
<death-place>,'s-Gravenhage
<occupation-5>,kapitein ter zee voor speciale diensten en chef Marinestaf, ministerie van Marine
<marriage-place>,Hellevoetsluis
<occupation-7-end>,1894
<occupation-2-begin>,1871
<occupation-3>,chef eerste adeling, depratement van Marine te Batavia
<occupation-2-end>,1873
<occupation-1>,marineofficier
<occupation-7>,chef Marinestaf
<occupation-7-begin>,1891
<occupation-3-begin>,1881-09-01
<name>,g. kruys|gerhardus kruys
<gender>,1
<birth-place>,Vriezenveen (Ov.)
<marriage-time>,1863-07-30
<occupation-1-begin>,1859-01-01
<education-1-end>,1859
<death-time>,1902-12-12
<birth-time>,1838-08-21
<occupation-5-begin>,1886-04-16
<occupation-4>,onderdirecteur 's Rijksmarinewerf te Amsterdam
<occupation-9-begin>,1901-08-01
<occupation-9-end>,1902-12-12
<occupation-3-end>,1883
<occupation-4-begin>,1883
<occupation-8>,commandant der Marine in Nederlands-Indië
<occupation-2>,sous-chef eerste bureau van de eerste afdeling, depratement van Marine te Batavia
<occupation-5-end>,1891-03-31
<occupation-8-end>,1898
<occupation-6>,minister van Marine
<occupation-6-begin>,1891-03-31
<education-1>,adelborst eerste klasse
<occupation-4-end>,1886-04-16
