<education-1-begin>,1930
<occupation-9>,lid Gedeputeerde Staten (belast met cultuur, recreatie, natuur, onderwijs en volkshuisvesting) van Noord-Brabant
<occupation-8-begin>,1969-09-16
<occupation-6-end>,1981-07-01
<education-5>,geschiedenis (doctoraal), Rijksuniversiteit Groningen
<death-place>,Breda
<occupation-5>,lid gemeenteraad van Breda
<residence-2>,Breda, Wilhelminasingel 21
<occupation-7-end>,1982-07-06
<residence-2-end>,1993-06
<occupation-2-begin>,1947
<education-5-end>,1946-12-13
<occupation-2-end>,1962
<occupation-1>,leraar geschiedenis, "Stedelijk Gymnasium" en Hogere Burgerschool te Winschoten
<occupation-1-end>,1947
<occupation-7>,lid Provinciale Staten van Noord-Brabant
<education-4-end>,1943
<occupation-7-begin>,1966-07-05
<occupation-3-begin>,1959
<name>,ym van der werff|ymenus pieter willem van der werff|y.p.w. van der werff
<education-2-end>,1938
<residence-1-end>,1947
<education-2>,geschiedenis, Gemeentelijke Universiteit te Amsterdam
<gender>,1
<birth-place>,Maastricht
<marriage-time>,1947-10-03
<education-1-end>,1936
<education-4>,geschiedenis, Rijksuniversiteit Groningen
<death-time>,1993-06-18
<birth-time>,1918-06-12
<occupation-5-begin>,1962-09-04
<occupation-4>,wetenschappelijk hoofdambtenaar, KMA (Koninklijke Militaire Academie) te Breda
<occupation-3>,docent KMA (Koninklijke Militaire Academie) te Breda
<education-3-end>,1938
<education-2-begin>,1936
<occupation-1-begin>,1945
<occupation-4-begin>,1960-09-01
<residence-1>,Winschoten,
<occupation-8>,lid Eerste Kamer der Staten-Generaal
<occupation-2>,leraar geschiedenis, "Stedelijk Gymnasium" te Breda
<occupation-5-end>,1974-06-05
<occupation-8-end>,1993-06-18
<education-3-begin>,1936
<occupation-6>,algemeen assessor (rang: raadadviseur in algemene dienst) KMA (Koninklijke Militaire Academie), ministerie van Defensie te Breda
<education-5-begin>,1945
<occupation-3-end>,1960-09-01
<occupation-9-begin>,1974-07-02
<occupation-6-begin>,1966
<education-1>,gymnasium-a, "Kennemerlyceum" te Bloemendaal
<education-3>,Nederlandse taal- en letterkunde, Gemeentelijke Universiteit te Amsterdam
<education-4-begin>,1938
<occupation-4-end>,1966
<occupation-9-end>,1978-07-04
