<faith-2>,vrijzinnig-protestants
<occupation-9>,lid Raad van State
<occupation-8-begin>,1960-09-20
<occupation-6-end>,1958-09-01
<faith-1>,Nederlands Hervormd: vrijzinnig (opgevoed)
<death-place>,Rotterdam
<occupation-5>,lid Tweede Kamer der Staten-Generaal
<residence-2>,Rotterdam, Van Oldenbarneveltplaats 370
<occupation-7-end>,1967-02-01
<occupation-2-begin>,1928
<occupation-3>,lid gemeenteraad van Rotterdam
<occupation-2-end>,1956
<occupation-1>,medewerker advocatenkantoor te Rotterdam
<occupation-1-end>,1928
<occupation-7>,wethouder (van financiën en kunstzaken) van Rotterdam
<occupation-7-begin>,1958-09-01
<occupation-3-begin>,1946-09-02
<name>,nancy zeelenberg|jannetje zeelenberg|j. zeelenberg
<education-2-end>,1927-11-08
<education-2>,Nederlands recht, Rijksuniversiteit Leiden
<gender>,2
<birth-place>,Rotterdam
<marriage-time>,ongehuwd
<occupation-1-begin>,1927
<death-time>,1986-04-22
<birth-time>,1903-07-26
<occupation-5-begin>,1952-09-16
<occupation-4>,lid Provinciale Staten van Zuid-Holland
<occupation-9-begin>,1967-02-01
<occupation-9-end>,1978-08-01
<education-2-begin>,1923-09-18
<occupation-3-end>,1967-02-23
<occupation-4-begin>,1946-06-20
<residence-1>,Rotterdam, Bergsingel 99
<occupation-8>,lid Eerste Kamer der Staten-Generaal
<occupation-2>,advocaat en procureur te Rotterdam
<occupation-5-end>,1958-11-22
<occupation-8-end>,1967-02-11
<occupation-6>,wethouder (van financiën) van Rotterdam
<occupation-6-begin>,1956-01-19
<education-1>,h.b.s.-a
<occupation-4-end>,1953-09
