<occupation-8-begin>,1912-01-01
<occupation-6-end>,1908-06
<death-place>,'s-Gravenhage
<occupation-5>,hoofdcommies afdeling Controle der uitgaven en nationale schuld, Algemene Rekenkamer
<marriage-place>,'s-Gravenhage
<occupation-7-end>,1912-01-01
<occupation-2-begin>,1874-10-01
<occupation-3>,adjunct-commies afdeling Secretarie en archief, Algemene Rekenkamer
<occupation-2-end>,1876-09-30
<occupation-1>,tweede klerk Algemene Rekenkamer
<occupation-1-end>,1874-09-30
<occupation-7>,secretaris Algemene Rekenkamer
<occupation-7-begin>,1908-07-24
<occupation-3-begin>,1876-10-01
<name>,c.f. rechlien morra|carel frederik rechlien morra|c.f. rechlien morra
<gender>,1
<birth-place>,'t Zand
<marriage-time>,1885-07-30
<occupation-1-begin>,1870-07-19
<death-time>,1912-03-25
<birth-time>,1848-01-28
<occupation-4>,commies Algemene Rekenkamer
<occupation-3-end>,1882-06-30
<occupation-4-begin>,1882-07-01
<occupation-8>,lid Algemene Rekenkamer
<occupation-2>,eerste klerk Algemene Rekenkamer
<occupation-5-end>,1902-02-24
<occupation-8-end>,1912-03-25
<occupation-6>,chef afdeling Controle der ontvangsten (rang: referendaris), Algemene Rekenkamer
<occupation-6-begin>,1902-02-24
<occupation-5-begin>,1897-02-11
<occupation-4-end>,1897-02-11
