<occupation-9>,Commissaris van de Koningin in Zuid-Holland
<occupation-8-begin>,1949-10-01
<occupation-6-end>,1947-05-01
<faith-1>,Doopsgezind
<death-place>,Voorschoten
<occupation-5>,waarnemend burgemeester van Hoogkerk (Gr.)
<residence-2>,Voorschoten
<occupation-7-end>,1949-10-01
<occupation-3>,geïnterneerd gijzelaarskamp te Vught
<occupation-2-end>,1945
<occupation-1>,ambtenaar ter secretarie, gemeente Groningen
<occupation-7>,burgemeester van Wageningen
<occupation-7-begin>,1947-05-01
<occupation-3-begin>,1944-01
<name>,jan klaasesz|jan klaasesz|j. klaasesz
<education-2-end>,1930
<education-2>,Nederlands recht, Rijksuniversiteit Groningen,
<gender>,1
<birth-place>,IJlst
<marriage-time>,gehuwd
<occupation-1-begin>,1933
<death-time>,1997-11-29
<birth-time>,1907-02-05
<occupation-5-begin>,1945
<occupation-4>,waarnemend burgemeester van Haren (Gr.)
<occupation-9-begin>,1956-01-16
<occupation-9-end>,1972-03-01
<occupation-3-end>,1944-09
<occupation-4-begin>,1945
<residence-1>,Wassenaar
<occupation-8>,Gouverneur van Suriname
<occupation-2>,plaatsvervangend chef afdeling Algemene en Sociale Zaken, gemeente Groningen en chef kabinet van de burgemeester van Groningen,
<occupation-5-end>,1946-02
<occupation-8-end>,1956-01-16
<occupation-6>,hoofd interne administratie Unesco te Londen en Parijs
<occupation-6-begin>,1946-02-22
<education-1>,gymnasium te Leeuwarden
<occupation-4-end>,1946-02
