<occupation-9>,lid Tweede Kamer der Staten-Generaal
<occupation-8-begin>,1929-09-17
<occupation-6-end>,1926-05-01
<occupation-10>,lid Tweede Kamer der Staten-Generaal
<faith-1>,Nederlands Hervormd
<death-place>,Bilthoven
<occupation-5>,burgemeester van Baarn
<occupation-7-end>,1941-09-01
<occupation-2-begin>,1902
<occupation-3>,lid gemeenteraad van Baarn
<occupation-2-end>,1911
<occupation-1>,advocaat te 's-Gravenhage
<occupation-1-end>,1902
<occupation-7>,lid Provinciale Staten van Utrecht
<occupation-7-begin>,1927-07-05
<occupation-3-begin>,1907-09-04
<name>,j.w.h. rutgers van rozenburg|hendrik rutgers van rozenburg
<education-2-end>,1899-12-12
<occupation-10-begin>,1937-09-21
<education-2>,rechtswetenschap (gepromoveerd op stellingen), Rijksuniversiteit Utrecht,
<gender>,1
<birth-place>,Amsterdam
<occupation-1-begin>,1900
<death-time>,1956-04-03
<birth-time>,1874-09-01
<occupation-5-begin>,1916-10-16
<occupation-4>,wethouder (van onder meer onderwijs) van Baarn
<occupation-9-begin>,1933-06-27
<occupation-9-end>,1937-06-08
<occupation-3-end>,1916-10-16
<occupation-4-begin>,1909-09
<occupation-8>,lid Tweede Kamer der Staten-Generaal
<occupation-2>,advocaat te Utrecht
<occupation-5-end>,1923-07-01
<occupation-8-end>,1933-05-09
<occupation-6>,lid Tweede Kamer der Staten-Generaal
<occupation-10-end>,1946-06-04
<occupation-6-begin>,1922-10-12
<education-1>,gymnasium te Amsterdam
<occupation-4-end>,1916-10-16
