<occupation-6-end>,1961-01-10
<faith-1>,Gereformeerd
<death-place>,nabij Bastogne (België)
<occupation-5>,lid Gemeenschappelijke Vergadering van de Europese Gemeenschap voor Kolen en Staal
<occupation-2-begin>,1951-01-01
<occupation-3>,lid Tweede Kamer der Staten-Generaal
<occupation-2-end>,1953-05
<occupation-1>,adjunct-secretaris hoofdafdeling Sociale Zaken, Stichting voor de Landbouw
<occupation-1-end>,1951-01-01
<occupation-3-begin>,1953-04-15
<name>,cees hazenbosch|pieter hazenbosch|c.p. hazenbosch
<education-2-end>,1950-06-23
<education-2>,economie, Nederlandse Economische Hogeschool te Rotterdam
<gender>,1
<birth-place>,Dordrecht
<occupation-1-begin>,1946-09-01
<education-1-end>,1940-06
<death-time>,1961-01-10
<birth-time>,1921-11-10
<occupation-5-begin>,1955-05-06
<occupation-4>,secretaris (belast met internationale zaken, sociaal-economische onderwerpen en scholing en vorming) CNV (Christelijk Nationaal Vakverbond)
<education-2-begin>,1940-08-29
<occupation-3-end>,1961-01-10
<occupation-4-begin>,1953-05
<occupation-2>,economisch adviseur CNV (Christelijk Nationaal Vakverbond)
<occupation-5-end>,1958-01-01
<occupation-6>,lid Europees Parlement
<occupation-6-begin>,1958-01-01
<education-1>,Christelijke Hogere Burgerschool te Dordrecht,
<occupation-4-end>,1961-01-10
