<occupation-9>,lid Tweede Kamer der Staten-Generaal
<occupation-8-begin>,1919-07-01
<occupation-6-end>,1917
<occupation-10>,lid gemeenteraad van Maarssen
<faith-1>,Rooms-Katholiek
<death-place>,Utrecht
<occupation-5>,onderwijzer te Maarssen,
<occupation-7>,hoofd R.K. lagere school voor jongens te Maarssen
<occupation-12-begin>,1951-05-17
<occupation-3>,onderwijzer te Dordrecht
<occupation-12-end>,1951-06-07
<occupation-1>,onderwijzer te Rotterdam
<occupation-11-begin>,1946-09-02
<occupation-7-end>,1921
<occupation-7-begin>,1917
<name>,j.g. suring|georgius suring
<occupation-10-begin>,1927-09-06
<gender>,1
<birth-place>,Norg (Dr.)
<occupation-11-end>,1951-06-07
<education-1-end>,1900-04
<occupation-11>,lid gemeenteraad van Utrecht
<death-time>,1951-06-07
<birth-time>,1882-02-11
<occupation-4>,onderwijzer te Vlaanderen
<occupation-9-begin>,1921-11-02
<occupation-9-end>,1941-12-18
<occupation-1-begin>,1900
<occupation-8>,lid Provinciale Staten van Utrecht
<occupation-2>,onderwijzer te Arnhem
<occupation-5-end>,1913
<occupation-8-end>,1941-09-01
<occupation-6>,hoofd R.K. lagere school voor jongens te Zutphen
<occupation-12>,waarnemend wethouder (van onderwijs) van Utrecht
<occupation-10-end>,1933-07
<education-1>,onderwijzersopleiding (hoofdacte), Vormschool Rotterdamsche Vereeniging voor Katholiek Onderwijs,
<occupation-6-begin>,1913
