<birth-place>,Roelofarendsveen
<occupation-2>,lid gemeenteraad van Hoorn
<occupation-2-begin>,1916
<occupation-3>,wethouder (onder meer van bedrijven) van Hoorn
<occupation-2-end>,1934-06-20
<occupation-1>,drukker-uitgever dagbladen en periodieken ("Noord-Hollandsch Dagblad", "Ons Noorden" en "Overijssels Dagblad")
<death-time>,1967-07-21
<birth-time>,1879-09-24
<faith-1>,Rooms-Katholiek
<occupation-4>,lid Tweede Kamer der Staten-Generaal
<death-place>,Hoorn
<occupation-3-begin>,1924
<name>,e.j.m. stumpel|marie stumpel
<occupation-3-end>,1934-06-20
<occupation-4-begin>,1934-03-06
<occupation-4-end>,1946-06-04
<gender>,1
