<occupation-9>,lid Provinciale Staten van Zuid-Holland
<occupation-8-begin>,1919-01-01
<occupation-6-end>,1919-07-01
<occupation-10>,lid Eerste Kamer der Staten-Generaal
<faith-1>,Nederlands Hervormd
<death-place>,Amsterdam
<occupation-5>,wethouder (van onderwijs) van Utrecht
<occupation-7-end>,1919-01-01
<occupation-2-begin>,1901-04-02
<occupation-3>,griffier Centrale Raad van Beroep
<occupation-2-end>,1903
<occupation-1>,advocaat en procureur te Utrecht
<occupation-1-end>,1901
<occupation-7>,wethouder (onder meer van volkshuisvesting) van Utrecht
<occupation-7-begin>,1917-05-31
<occupation-3-begin>,1903-03-01
<name>,w.h.m. werker|martinus werker
<occupation-10-begin>,1935-09-17
<gender>,1
<birth-place>,Utrecht
<occupation-1-begin>,1897
<education-1-end>,1897-03-12
<death-time>,1938-02-23
<birth-time>,1871-10-06
<occupation-5-begin>,1913-02-20
<occupation-4>,lid gemeenteraad van Utrecht
<occupation-9-begin>,1927-07-05
<occupation-9-end>,1934-02
<occupation-3-end>,1913-01
<occupation-4-begin>,1908-07-02
<occupation-8>,voorzitter Raad van Arbeid te Amsterdam
<occupation-2>,adjunct-secretaris Raad van Toezicht op spoorwegdiensten
<occupation-5-end>,1913-05-26
<occupation-8-end>,1921-09-01
<occupation-6>,lid Provinciale Staten van Utrecht voor het kiesdistrict Utrecht I
<occupation-10-end>,1937-06-08
<occupation-6-begin>,1914-02-10
<education-1>,rechtswetenschap (gepromoveerd op dissertatie), Rijksuniversiteit Utrecht,
<occupation-4-end>,1919-01-01
