<birth-place>,Hoorn
<occupation-2>,lid Vergadering van Provisionele Representanten van het Volk van Holland (voor Hoorn)
<occupation-2-begin>,1795-05-18
<occupation-3>,lid Provinciaal Comité van Holland
<occupation-1>,koopman te Hoorn
<death-time>,1847-12-10
<birth-time>,1771-06-19
<occupation-4>,lid bestuur departement Texel
<death-place>,Hoorn
<occupation-3-begin>,1796-04-01
<name>,p. houttuijn gzn.|pieter houttuijn gzn.
<occupation-3-end>,1797-03-28
<occupation-4-begin>,1798-12-20
<occupation-4-end>,1802-06-04
<occupation-5>,lid Vergadering van Notabelen voor het departement Zuiderzee, 29 en 30 maart 1814
