<education-1-begin>,1769
<occupation-6-end>,1815
<death-place>,Aye
<occupation-5>,vrederechter te Marche
<occupation-7-end>,1829-10-19
<occupation-2-begin>,1781
<occupation-3>,kapitein der infanterie
<occupation-2-end>,1790
<occupation-1>,vaandrig regiment mariniers van Douglas
<occupation-7>,lid Tweede Kamer der Staten-Generaal voor de provincie Luxemburg
<occupation-7-begin>,1820-10-17
<occupation-3-begin>,1790
<name>,a.f.a. desprez|albert desprez
<gender>,1
<birth-place>,Namen
<death-time>,1841-08-28
<birth-time>,1759-04-20
<occupation-5-begin>,1808-10-27
<occupation-4>,officier der grenadiers
<occupation-1-begin>,1775
<occupation-4-begin>,1793
<occupation-2>,luitenant der infanterie
<occupation-6>,voorlopig administrateur te Marche
<occupation-4-end>,1795
<education-1>,cadet Waalse regiment infanterie (Republiek der Verenigde Nederlanden)
<occupation-6-begin>,1813
