<occupation-6-end>,1894-03-05
<faith-1>,Remonstrants
<death-place>,Leiden
<occupation-5>,lid Eerste Kamer der Staten-Generaal voor Zuid-Holland
<occupation-2-begin>,1871-07-04
<occupation-3>,lid Eerste Kamer der Staten-Generaal voor Zuid-Holland
<occupation-2-end>,1883
<occupation-1>,grondbezitter en landbouwkundige te Waddinxveen
<occupation-3-begin>,1884-11-17
<name>,j. van der breggen azn.|jacobus van der breggen azn.
<gender>,1
<birth-place>,Waddinxveen
<death-time>,1894-03-05
<birth-time>,1828-09-29
<occupation-4>,lid Eerste Kamer der Staten-Generaal voor Zuid-Holland
<occupation-3-end>,1887-08-17
<occupation-4-begin>,1887-09-19
<occupation-2>,lid Provinciale Staten van Zuid-Holland voor het kiesdistrict Alphen
<occupation-5-end>,1894-03-05
<occupation-6>,lid gemeenteraad van Leiden
<occupation-4-end>,1888-03-27
<occupation-5-begin>,1888-05-01
<occupation-6-begin>,1890-01-02
