<occupation-9>,vicepresident Arrondissementsrechtbank te Maastricht
<occupation-8-begin>,1923-09-18
<occupation-6-end>,1918-09-17
<occupation-10>,president Arrondissementsrechtbank te Maastricht
<faith-1>,Rooms-Katholiek
<death-place>,Maastricht
<occupation-5>,rechter Arrondissementsrechtbank te Maastricht
<occupation-7-end>,1923-09-18
<occupation-2-begin>,1899
<occupation-3>,lid Provinciale Staten van Limburg
<occupation-2-end>,1927
<occupation-1>,advocaat en procureur te Maastricht
<occupation-1-end>,1917-11
<occupation-7>,lid Eerste Kamer der Staten-Generaal voor de provincie Limburg
<occupation-7-begin>,1922-03-23
<occupation-3-begin>,1899-10-28
<name>,françois janssen|josephus janssen|f.i.j. janssen
<education-2-end>,1893-11-09
<occupation-10-begin>,1939-09-01
<education-2>,rechtswetenschap (gepromoveerd op dissertatie), Gemeentelijke Universiteit te Amsterdam
<gender>,1
<birth-place>,Bingelrade (Lb.)
<occupation-1-begin>,1893
<death-time>,1952-08-25
<birth-time>,1871-03-29
<occupation-5-begin>,1917-11-15
<occupation-4>,lid Tweede Kamer der Staten-Generaal voor het kiesdistrict Maastricht
<occupation-9-begin>,1929-01-01
<occupation-9-end>,1939-09-01
<education-2-begin>,1889
<occupation-3-end>,1922-03
<occupation-4-begin>,1902-04-29
<occupation-8>,lid Eerste Kamer der Staten-Generaal
<occupation-2>,lid gemeenteraad van Maastricht
<occupation-5-end>,1929-01-01
<occupation-8-end>,1946-07-23
<occupation-6>,lid Tweede Kamer der Staten-Generaal voor het kiesdistrict Maastricht
<occupation-10-end>,1941-04-01
<occupation-6-begin>,1917-12-13
<education-1>,Gymnasium Rolduc
<occupation-4-end>,1917-11-15
